"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.551668545E0,4.195061684E0,-8.254945278E-1,2.046246529E0
6.571556648E0,2.611304283E0,-4.804475307E-1,1.987426996E0
6.591444914E0,1.198191643E0,-3.034486771E-1,2.800047874E0
6.611345956E0,2.654180527E-1,-8.907191753E-1,3.277988195E0
6.631234425E0,-4.489173889E-1,-9.518408775E-1,2.648804665E0
6.651108042E0,-8.771858215E-1,-1.100968838E0,1.824068069E0
6.670982270E0,-1.579107285E0,-4.059448242E-1,1.134691954E0
6.690885916E0,-1.089922905E0,-2.012834072E0,-9.709928632E-1
6.710773978E0,-3.731126785E-1,-2.427723885E0,-1.541954398E0
6.730662203E0,-3.843202591E-1,-1.173086166E0,-1.078710318E0
6.750563855E0,4.039745331E-1,-6.459636688E-1,-1.837084889E0
6.770451510E0,1.554581642E0,-1.029028416E0,-2.179116011E0
6.790339979E0,1.502503395E0,-1.491622925E-1,-2.082071543E0
6.810227553E0,1.802511215E0,-9.217705727E-1,-2.032071590E0
6.830114638E0,1.011025429E0,-1.810255051E-1,-9.135302305E-1
6.849985488E0,6.616230011E-1,6.137847900E-2,-1.891906261E-1
6.869892634E0,7.995414734E-1,-2.518773079E-1,-3.060024083E-1
6.889780940E0,4.674501419E-1,1.661014557E-2,-9.367842674E-1
6.909666398E0,-1.399078369E-1,-8.492898941E-2,-1.596575618E0
6.929556617E0,-7.376928329E-1,-9.446144104E-2,-1.828975677E0
6.949431902E0,-8.618555069E-1,4.296541214E-2,-1.319928646E0
6.969320330E0,-4.934005737E-1,-5.073118210E-2,-8.747411966E-1
6.989208555E0,1.048297882E-1,-8.470201492E-2,-1.710797250E-1
7.009101703E0,7.370634079E-1,-8.113288879E-2,1.283091307E-2
7.028986022E0,7.119693756E-1,-2.608737946E-1,-2.261500061E-1
7.048872741E0,6.945991516E-2,-2.081966400E-1,-2.341378033E-1
7.068761006E0,-1.460456848E-2,-4.637532234E-1,-4.951522052E-1
7.088649191E0,1.095981598E-1,-7.184514999E-1,-4.522255659E-1
7.108537415E0,2.406702042E-1,-6.787214279E-1,1.810206026E-1
7.128452414E0,6.210365295E-1,-4.071474075E-1,6.412518024E-1
7.148313580E0,1.045517921E0,-1.892690659E-1,5.242516398E-1
7.168200503E0,1.035272598E0,-5.343143940E-1,-3.000021875E-1
7.188090152E0,2.984294891E-1,-4.038560390E-1,-1.032727063E-1
7.207975610E0,-9.714031219E-2,-7.679533958E-2,6.857832074E-1
7.227865055E0,-1.895790100E-1,1.450200081E-1,1.340015650E0
7.247745101E0,-2.598180771E-1,1.373174191E-1,1.293350339E0
7.267654118E0,6.194791794E-1,-2.915616035E-1,4.432969689E-1
7.287541733E0,1.019783020E-1,3.209543228E-2,-6.002236605E-1
7.307430365E0,3.735160828E-1,-1.807594299E-1,-1.476144314E0
7.327318304E0,6.457281113E-1,-6.330847740E-2,-1.983373165E0
7.347191230E0,7.084360123E-1,-8.839297295E-2,-1.663040876E0
7.367095120E0,1.094979286E0,-7.054114342E-2,-5.409946442E-1
7.386984769E0,1.015893936E0,1.361808777E-1,6.604762077E-1
7.406872994E0,1.686765671E0,-8.117818832E-2,-3.711763620E-1
7.426742990E0,2.106328011E0,-1.469790697E0,-2.018074989E0
7.446636219E0,1.904884338E0,-1.235872030E0,-8.815337420E-1
7.466524485E0,1.500865936E0,-1.200864196E0,-1.783650160E0
7.486412628E0,1.840977669E0,-1.713224173E0,-2.262329340E0
7.506300771E0,1.959307671E0,-2.158232927E0,-2.227141380E0
7.526198558E0,1.522437096E0,-2.356680870E0,-1.730011463E0
7.546078035E0,1.029368401E0,-2.778915882E0,-1.225767136E0
7.565965283E0,5.589370728E-1,-2.969600916E0,-1.526412725E0
7.585853264E0,3.730163574E-1,-2.997616053E0,-2.536838293E0
7.605754672E0,5.096445084E-1,-2.798553944E0,-2.897815466E0
7.625628655E0,-2.057495117E0,-1.710653424E0,-1.727389812E0
7.645517979E0,-2.653973579E0,-1.732219934E0,-2.332092762E0
7.665406041E0,-2.148429871E0,-1.378819227E0,-1.992692947E0
7.685294265E0,-1.570911407E0,-1.038829327E0,-2.246589661E0
7.705182490E0,-1.439937592E0,-1.164364100E0,-2.766667366E0
7.725070389E0,-2.207348824E0,-1.605809927E0,-3.128808975E0
7.744958696E0,-3.163492680E0,-1.661490917E0,-2.291815758E0
